Event,Color,Style,Dress_Path,Accessory_Path
Birthday,Green,Bold and Bright,Birthday/Green/Bold and Bright/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Bold and Bright/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Bold and Bright,Birthday/Green/Bold and Bright/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Bold and Bright/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Bold and Bright,Birthday/Green/Bold and Bright/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Bold and Bright/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Green,Casual Comfort,Birthday/Green/Casual Comfort/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Casual Comfort/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Casual Comfort,Birthday/Green/Casual Comfort/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Casual Comfort/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Casual Comfort,Birthday/Green/Casual Comfort/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Casual Comfort/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Green,Eco-Friendly Fashionista,Birthday/Green/Eco-Friendly Fashionista/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Eco-Friendly Fashionista/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Eco-Friendly Fashionista,Birthday/Green/Eco-Friendly Fashionista/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Eco-Friendly Fashionista/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Eco-Friendly Fashionista,Birthday/Green/Eco-Friendly Fashionista/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Eco-Friendly Fashionista/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Green,Minimalist Maven,Birthday/Green/Minimalist Maven/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Minimalist Maven/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Minimalist Maven,Birthday/Green/Minimalist Maven/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Minimalist Maven/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Minimalist Maven,Birthday/Green/Minimalist Maven/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Minimalist Maven/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Green,Retro Futurism,Birthday/Green/Retro Futurism/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Retro Futurism/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Retro Futurism,Birthday/Green/Retro Futurism/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Retro Futurism/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Retro Futurism,Birthday/Green/Retro Futurism/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Retro Futurism/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Green,Streetwear,Birthday/Green/Streetwear/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Streetwear/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Streetwear,Birthday/Green/Streetwear/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Streetwear/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Streetwear,Birthday/Green/Streetwear/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Streetwear/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Green,Vintage Vibes,Birthday/Green/Vintage Vibes/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Vintage Vibes/Accessories/410QAa3yZaL._AC_UY1100_.jpg
Birthday,Green,Vintage Vibes,Birthday/Green/Vintage Vibes/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Vintage Vibes/Accessories/b1590c23bcc0494850e8093a8d5c9e92.jpg
Birthday,Green,Vintage Vibes,Birthday/Green/Vintage Vibes/Dress/Etsy-ethical-wedding-dress.png,Birthday/Green/Vintage Vibes/Accessories/png-transparent-sandal-shoe-high-heeled-footwear-green-leather-sandals-leather-fashion-outdoor-shoe.png
Birthday,Orange,Bold and Bright,Birthday/Orange/Bold and Bright/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Bold and Bright/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Bold and Bright,Birthday/Orange/Bold and Bright/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Bold and Bright/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Bold and Bright,Birthday/Orange/Bold and Bright/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Bold and Bright/Accessories/bagorange.jpg
Birthday,Orange,Bold and Bright,Birthday/Orange/Bold and Bright/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Bold and Bright/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Orange,Casual Comfort,Birthday/Orange/Casual Comfort/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Casual Comfort/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Casual Comfort,Birthday/Orange/Casual Comfort/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Casual Comfort/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Casual Comfort,Birthday/Orange/Casual Comfort/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Casual Comfort/Accessories/bagorange.jpg
Birthday,Orange,Casual Comfort,Birthday/Orange/Casual Comfort/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Casual Comfort/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Orange,Eco-Friendly Fashionista,Birthday/Orange/Eco-Friendly Fashionista/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Eco-Friendly Fashionista/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Eco-Friendly Fashionista,Birthday/Orange/Eco-Friendly Fashionista/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Eco-Friendly Fashionista/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Eco-Friendly Fashionista,Birthday/Orange/Eco-Friendly Fashionista/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Eco-Friendly Fashionista/Accessories/bagorange.jpg
Birthday,Orange,Eco-Friendly Fashionista,Birthday/Orange/Eco-Friendly Fashionista/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Eco-Friendly Fashionista/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Orange,Minimalist Maven,Birthday/Orange/Minimalist Maven/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Minimalist Maven/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Minimalist Maven,Birthday/Orange/Minimalist Maven/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Minimalist Maven/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Minimalist Maven,Birthday/Orange/Minimalist Maven/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Minimalist Maven/Accessories/bagorange.jpg
Birthday,Orange,Minimalist Maven,Birthday/Orange/Minimalist Maven/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Minimalist Maven/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Orange,Retro Futurism,Birthday/Orange/Retro Futurism/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Retro Futurism/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Retro Futurism,Birthday/Orange/Retro Futurism/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Retro Futurism/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Retro Futurism,Birthday/Orange/Retro Futurism/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Retro Futurism/Accessories/bagorange.jpg
Birthday,Orange,Retro Futurism,Birthday/Orange/Retro Futurism/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Retro Futurism/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Orange,Streetwear,Birthday/Orange/Streetwear/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Streetwear/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Streetwear,Birthday/Orange/Streetwear/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Streetwear/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Streetwear,Birthday/Orange/Streetwear/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Streetwear/Accessories/bagorange.jpg
Birthday,Orange,Streetwear,Birthday/Orange/Streetwear/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Streetwear/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Orange,Vintage Vibes,Birthday/Orange/Vintage Vibes/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,"Birthday/Orange/Vintage Vibes/Accessories/41QKBnrPwkL._SR600,315_PIWhiteStrip,BottomLeft,0,35_SCLZZZZZZZ_FMpng_BG255,255,255.png"
Birthday,Orange,Vintage Vibes,Birthday/Orange/Vintage Vibes/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Vintage Vibes/Accessories/710XWpEzxML._AC_UY1000_.jpg
Birthday,Orange,Vintage Vibes,Birthday/Orange/Vintage Vibes/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Vintage Vibes/Accessories/bagorange.jpg
Birthday,Orange,Vintage Vibes,Birthday/Orange/Vintage Vibes/Dress/Sustainably+Chic+_+Best+Sustainable+Fashion+Blogs+_+Sustainable+Eco+Friendly+Ethical+Wedding+Dresses+_+Leanne+Marshall.jpg,Birthday/Orange/Vintage Vibes/Accessories/pngtree-vintage-brown-sunglasses-png-image_4458110.png
Birthday,Purple,Bold and Bright,Birthday/Purple/Bold and Bright/Dress/11.jpg,Birthday/Purple/Bold and Bright/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Bold and Bright,Birthday/Purple/Bold and Bright/Dress/11.jpg,Birthday/Purple/Bold and Bright/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Bold and Bright,Birthday/Purple/Bold and Bright/Dress/11.jpg,Birthday/Purple/Bold and Bright/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Purple,Casual Comfort,Birthday/Purple/Casual Comfort/Dress/11.jpg,Birthday/Purple/Casual Comfort/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Casual Comfort,Birthday/Purple/Casual Comfort/Dress/11.jpg,Birthday/Purple/Casual Comfort/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Casual Comfort,Birthday/Purple/Casual Comfort/Dress/11.jpg,Birthday/Purple/Casual Comfort/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Purple,Eco-Friendly Fashionista,Birthday/Purple/Eco-Friendly Fashionista/Dress/11.jpg,Birthday/Purple/Eco-Friendly Fashionista/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Eco-Friendly Fashionista,Birthday/Purple/Eco-Friendly Fashionista/Dress/11.jpg,Birthday/Purple/Eco-Friendly Fashionista/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Eco-Friendly Fashionista,Birthday/Purple/Eco-Friendly Fashionista/Dress/11.jpg,Birthday/Purple/Eco-Friendly Fashionista/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Purple,Minimalist Maven,Birthday/Purple/Minimalist Maven/Dress/11.jpg,Birthday/Purple/Minimalist Maven/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Minimalist Maven,Birthday/Purple/Minimalist Maven/Dress/11.jpg,Birthday/Purple/Minimalist Maven/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Minimalist Maven,Birthday/Purple/Minimalist Maven/Dress/11.jpg,Birthday/Purple/Minimalist Maven/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Purple,Retro Futurism,Birthday/Purple/Retro Futurism/Dress/11.jpg,Birthday/Purple/Retro Futurism/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Retro Futurism,Birthday/Purple/Retro Futurism/Dress/11.jpg,Birthday/Purple/Retro Futurism/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Retro Futurism,Birthday/Purple/Retro Futurism/Dress/11.jpg,Birthday/Purple/Retro Futurism/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Purple,Streetwear,Birthday/Purple/Streetwear/Dress/11.jpg,Birthday/Purple/Streetwear/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Streetwear,Birthday/Purple/Streetwear/Dress/11.jpg,Birthday/Purple/Streetwear/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Streetwear,Birthday/Purple/Streetwear/Dress/11.jpg,Birthday/Purple/Streetwear/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Purple,Vintage Vibes,Birthday/Purple/Vintage Vibes/Dress/11.jpg,Birthday/Purple/Vintage Vibes/Accessories/656b1570f0645e5a551e8cc3-brilove-women-39-s-wedding-jewelry.jpg
Birthday,Purple,Vintage Vibes,Birthday/Purple/Vintage Vibes/Dress/11.jpg,Birthday/Purple/Vintage Vibes/Accessories/png-transparent-handbag-wedding-dress-evening-gown-leather-handbags-purple-violet-fashion-thumbnail.png
Birthday,Purple,Vintage Vibes,Birthday/Purple/Vintage Vibes/Dress/11.jpg,Birthday/Purple/Vintage Vibes/Accessories/purple-wedding-shoes-CBYFET.jpg
Birthday,Yellow,Bold and Bright,Birthday/Yellow/Bold and Bright/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Bold and Bright/Accessories/1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png
Birthday,Yellow,Bold and Bright,Birthday/Yellow/Bold and Bright/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Bold and Bright/Accessories/36e19f4717895f66c05715b80cc67215.jpg
Birthday,Yellow,Bold and Bright,Birthday/Yellow/Bold and Bright/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Bold and Bright/Accessories/90ea75f21889f3015274cf55a78a98d5.jpg
Birthday,Yellow,Bold and Bright,Birthday/Yellow/Bold and Bright/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Bold and Bright/Accessories/98fdc3ee8dc2e571c44f91713c899db0.jpg
Birthday,Yellow,Casual Comfort,Birthday/Yellow/Casual Comfort/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Casual Comfort/Accessories/1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png
Birthday,Yellow,Casual Comfort,Birthday/Yellow/Casual Comfort/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Casual Comfort/Accessories/36e19f4717895f66c05715b80cc67215.jpg
Birthday,Yellow,Casual Comfort,Birthday/Yellow/Casual Comfort/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Casual Comfort/Accessories/90ea75f21889f3015274cf55a78a98d5.jpg
Birthday,Yellow,Casual Comfort,Birthday/Yellow/Casual Comfort/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Casual Comfort/Accessories/98fdc3ee8dc2e571c44f91713c899db0.jpg
Birthday,Yellow,Eco-Friendly Fashionista,Birthday/Yellow/Eco-Friendly Fashionista/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Eco-Friendly Fashionista/Accessories/1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png
Birthday,Yellow,Eco-Friendly Fashionista,Birthday/Yellow/Eco-Friendly Fashionista/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Eco-Friendly Fashionista/Accessories/36e19f4717895f66c05715b80cc67215.jpg
Birthday,Yellow,Eco-Friendly Fashionista,Birthday/Yellow/Eco-Friendly Fashionista/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Eco-Friendly Fashionista/Accessories/90ea75f21889f3015274cf55a78a98d5.jpg
Birthday,Yellow,Eco-Friendly Fashionista,Birthday/Yellow/Eco-Friendly Fashionista/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Eco-Friendly Fashionista/Accessories/98fdc3ee8dc2e571c44f91713c899db0.jpg
Birthday,Yellow,Minimalist Maven,Birthday/Yellow/Minimalist Maven/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Minimalist Maven/Accessories/1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png
Birthday,Yellow,Minimalist Maven,Birthday/Yellow/Minimalist Maven/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Minimalist Maven/Accessories/36e19f4717895f66c05715b80cc67215.jpg
Birthday,Yellow,Minimalist Maven,Birthday/Yellow/Minimalist Maven/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Minimalist Maven/Accessories/90ea75f21889f3015274cf55a78a98d5.jpg
Birthday,Yellow,Minimalist Maven,Birthday/Yellow/Minimalist Maven/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Minimalist Maven/Accessories/98fdc3ee8dc2e571c44f91713c899db0.jpg
Birthday,Yellow,Retro Futurism,Birthday/Yellow/Retro Futurism/Dress/29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Birthday/Yellow/Retro Futurism/Accessories/1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png
