Event,Color,Style,Image_Path,Type
Birthday,Yellow,Bold and Bright,Birthday\Yellow\Bold and Bright\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Bold and Bright,Birthday\Yellow\Bold and Bright\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Bold and Bright,Birthday\Yellow\Bold and Bright\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Bold and Bright,Birthday\Yellow\Bold and Bright\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Birthday,Yellow,Casual Comfort,Birthday\Yellow\Casual Comfort\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Birthday,Yellow,Casual Comfort,Birthday\Yellow\Casual Comfort\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Casual Comfort,Birthday\Yellow\Casual Comfort\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Casual Comfort,Birthday\Yellow\Casual Comfort\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Casual Comfort,Birthday\Yellow\Casual Comfort\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Birthday,Yellow,Eco-Friendly Fashionista,Birthday\Yellow\Eco-Friendly Fashionista\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Birthday,Yellow,Eco-Friendly Fashionista,Birthday\Yellow\Eco-Friendly Fashionista\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Eco-Friendly Fashionista,Birthday\Yellow\Eco-Friendly Fashionista\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Eco-Friendly Fashionista,Birthday\Yellow\Eco-Friendly Fashionista\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Eco-Friendly Fashionista,Birthday\Yellow\Eco-Friendly Fashionista\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Birthday,Yellow,Minimalist Maven,Birthday\Yellow\Minimalist Maven\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Birthday,Yellow,Minimalist Maven,Birthday\Yellow\Minimalist Maven\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Minimalist Maven,Birthday\Yellow\Minimalist Maven\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Minimalist Maven,Birthday\Yellow\Minimalist Maven\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Minimalist Maven,Birthday\Yellow\Minimalist Maven\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
Birthday,Yellow,Retro Futurism,Birthday\Yellow\Retro Futurism\29-Ethical-colour-wedding-dresses-Sanyukta-Shrestha-scaled.jpg,Dress
Birthday,Yellow,Retro Futurism,Birthday\Yellow\Retro Futurism\Accessories\1000015188_ed055c80-488b-4898-bf71-12024e797992-3X.png,Accessory
Birthday,Yellow,Retro Futurism,Birthday\Yellow\Retro Futurism\Accessories\36e19f4717895f66c05715b80cc67215.jpg,Accessory
Birthday,Yellow,Retro Futurism,Birthday\Yellow\Retro Futurism\Accessories\90ea75f21889f3015274cf55a78a98d5.jpg,Accessory
Birthday,Yellow,Retro Futurism,Birthday\Yellow\Retro Futurism\Accessories\98fdc3ee8dc2e571c44f91713c899db0.jpg,Accessory
